id,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,longitude,latitude
355,Lech (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123.0,51.0,304.0,Yes,No,53.0,45.0,15.0,113.0,145127.0,747.0,9.53,47.17
356,Zürs (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123.0,51.0,304.0,Yes,No,53.0,45.0,15.0,113.0,145127.0,747.0,9.53,47.17
357,St. Christoph (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123.0,51.0,304.0,Yes,No,53.0,45.0,15.0,113.0,145127.0,747.0,9.53,47.17
358,Sierra Nevada-Pradollano,Spain,3282.0,2100.0,47.0,50.0,49.0,7.0,107.0,Yes,Yes,5.0,14.0,2.0,21.0,59205.0,350.0,9.53,47.17
359,St. Johann in Tirol,Austria,1604.0,659.0,44.0,16.0,23.0,3.0,43.0,No,Yes,12.0,4.0,4.0,20.0,21100.0,260.0,9.53,47.17
360,Bad Gastein,Austria,2300.0,860.0,52.0,30.0,52.0,2.0,86.0,Yes,No,10.0,9.0,7.0,26.0,32699.0,800.0,9.53,47.17
361,Kronplatz (Plan de Corones),Italy,2275.0,973.0,54.0,52.0,42.0,25.0,119.0,Yes,Yes,6.0,5.0,21.0,32.0,71205.0,450.0,9.53,47.17
362,Gargellen,Austria,2300.0,1423.0,47.0,20.0,5.0,2.0,28.0,Yes,No,5.0,3.0,1.0,9.0,10650.0,83.0,9.53,47.17
363,Hochschwarzeck,Germany,1385.0,1030.0,22.0,4.0,0.0,0.0,4.0,No,No,3.0,1.0,0.0,4.0,2880.0,0.0,9.53,47.17
364,Arcalís-Ordino (Vallnord),Andorra,2625.0,1940.0,37.0,13.0,14.0,3.0,30.0,Yes,No,10.0,4.0,1.0,15.0,14240.0,106.0,9.53,47.17
365,Hemsedal,Norway,1450.0,620.0,46.0,29.0,10.0,4.0,44.0,Yes,Yes,15.0,6.0,0.0,21.0,22921.0,325.0,9.53,47.17
366,Sölden,Austria,3340.0,1350.0,53.0,70.0,44.0,29.0,144.0,Yes,Yes,12.0,16.0,8.0,36.0,70370.0,363.0,9.53,47.17
367,Stubai Glacier,Austria,3212.0,1697.0,46.0,19.0,15.0,4.0,38.0,Yes,No,14.0,7.0,5.0,26.0,39784.0,69.0,9.53,47.17
368,Elfer Neustift,Austria,2080.0,981.0,29.0,0.0,7.0,0.0,7.0,No,No,3.0,0.0,1.0,4.0,2980.0,0.0,9.53,47.17
369,Val Gardena,Italy,2518.0,1236.0,54.0,52.0,105.0,18.0,175.0,Yes,No,29.0,41.0,14.0,84.0,121914.0,630.0,9.53,47.17
370,Val Thorens (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216.0,72.0,600.0,Yes,Yes,62.0,63.0,40.0,165.0,250860.0,2383.0,9.53,47.17
371,Montgenèvre (Via Lattea),France,2749.0,1372.0,48.0,96.0,220.0,84.0,400.0,No,Yes,29.0,35.0,7.0,71.0,96433.0,0.0,9.53,47.17
372,Sauze d’Oulx (Via Lattea),Italy,2749.0,1372.0,48.0,96.0,220.0,84.0,400.0,No,Yes,29.0,35.0,7.0,71.0,96433.0,0.0,9.53,47.17
373,Gressoney - La-Trinite (Monterosa Ski),Italy,3275.0,1212.0,43.0,23.0,94.0,15.0,132.0,Yes,No,9.0,9.0,12.0,30.0,31984.0,655.0,9.53,47.17
374,Champoluc (Monterosa Ski),Italy,3275.0,1212.0,43.0,23.0,94.0,15.0,132.0,Yes,No,9.0,9.0,12.0,30.0,31984.0,655.0,9.53,47.17
375,Zauchensee,Austria,2188.0,1000.0,52.0,23.0,16.0,4.0,44.0,Yes,No,9.0,6.0,4.0,19.0,25988.0,113.0,9.53,47.17
376,,Belarus,,,,,,,,,,,,,,,,9.53,47.17
377,,Iceland,,,,,,,,,,,,,,,,9.53,47.17
378,,Portugal,,,,,,,,,,,,,,,,9.53,47.17
379,,Hungary,,,,,,,,,,,,,,,,9.53,47.17
380,,Ireland,,,,,,,,,,,,,,,,9.53,47.17
381,,Latvia,,,,,,,,,,,,,,,,9.53,47.17
382,,Croatia,,,,,,,,,,,,,,,,9.53,47.17
383,,Estonia,,,,,,,,,,,,,,,,9.53,47.17
384,,Moldova,,,,,,,,,,,,,,,,9.53,47.17
385,,Belgium,,,,,,,,,,,,,,,,9.53,47.17
386,,Albania,,,,,,,,,,,,,,,,9.53,47.17
387,,Macedonia,,,,,,,,,,,,,,,,9.53,47.17
388,,Montenegro,,,,,,,,,,,,,,,,9.53,47.17
389,,Cyprus,,,,,,,,,,,,,,,,9.53,47.17
390,,Luxembourg,,,,,,,,,,,,,,,,9.53,47.17
391,,Faroe Is.,,,,,,,,,,,,,,,,9.53,47.17
392,,Malta,,,,,,,,,,,,,,,,9.53,47.17
393,,Guernsey,,,,,,,,,,,,,,,,-2.33,49.58
394,,San Marino,,,,,,,,,,,,,,,,12.42,43.93
395,,Gibraltar,,,,,,,,,,,,,,,,-5.35,36.13
396,,Monaco,,,,,,,,,,,,,,,,7.42,43.73
397,,Vatican City,,,,,,,,,,,,,,,,12.45,41.9
