id,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,longitude,latitude
226,Štrbské Pleso,Slovakia,1840.0,1376.0,35.0,2.0,5.0,0.0,8.0,Yes,No,5.0,3.0,0.0,8.0,7700.0,52.0,9.53,47.17
227,Gaissau-Hintersee,Austria,1567.0,750.0,35.0,23.0,10.0,0.0,34.0,Yes,No,6.0,3.0,0.0,9.0,10110.0,0.0,9.53,47.17
228,Kellerjoch-Schwaz,Austria,857.0,545.0,29.0,5.0,2.0,2.0,10.0,No,No,4.0,2.0,0.0,6.0,3786.0,5.0,9.53,47.17
229,Hochrindl-Sirnitz,Austria,1886.0,1540.0,32.0,5.0,11.0,3.0,20.0,Yes,Yes,11.0,1.0,0.0,12.0,7350.0,30.0,9.53,47.17
230,La Bresse-Hohneck,France,1350.0,872.0,29.0,13.0,7.0,1.0,21.0,No,Yes,12.0,6.0,0.0,18.0,21515.0,300.0,9.53,47.17
231,Silbersattel-Steinach,Germany,842.0,590.0,19.0,2.0,1.0,0.0,4.0,Yes,No,3.0,1.0,0.0,4.0,3300.0,6.0,9.53,47.17
232,Lammeralm-Langenwang,Austria,1230.0,980.0,29.0,2.0,3.0,2.0,8.0,No,No,2.0,6.0,3.0,11.0,2800.0,24.0,9.53,47.17
233,Kitzbüheler Horn,Austria,2000.0,800.0,40.0,6.0,9.0,2.0,17.0,Yes,No,7.0,2.0,0.0,9.0,10110.0,55.0,9.53,47.17
234,Myrkdalen,Norway,1060.0,450.0,44.0,13.0,12.0,4.0,30.0,Yes,Yes,2.0,4.0,3.0,9.0,10279.0,32.0,9.53,47.17
235,Loser-Altaussee,Austria,1770.0,850.0,40.0,18.0,12.0,3.0,33.0,Yes,No,3.0,2.0,3.0,8.0,11114.0,50.0,9.53,47.17
236,Christlum-Achenkirch,Austria,1800.0,950.0,44.0,6.0,16.0,5.0,27.0,Yes,No,9.0,4.0,0.0,13.0,12843.0,0.0,9.53,47.17
237,Grasgehren-Bolgengrat,Germany,1700.0,1400.0,25.0,3.0,8.0,0.0,11.0,Yes,No,5.0,1.0,0.0,6.0,5140.0,10.0,9.53,47.17
238,Götschen-Bischofswiesen,Germany,1307.0,880.0,25.0,2.0,1.0,4.0,8.0,No,Yes,2.0,1.0,0.0,3.0,4000.0,35.0,9.53,47.17
239,Torrent-Leukerbad,Switzerland,2610.0,1411.0,46.0,3.0,26.0,16.0,47.0,Yes,No,8.0,1.0,5.0,14.0,11390.0,40.0,9.53,47.17
240,Monte Popolo-Eben im Pongau,Austria,1612.0,862.0,36.0,4.0,2.0,0.0,6.0,Yes,No,2.0,2.0,0.0,4.0,4550.0,55.0,9.53,47.17
241,Jochgrimm-Passo Oclini-,Italy,2250.0,1850.0,17.0,4.0,2.0,1.0,7.0,No,No,0.0,3.0,5.0,8.0,3540.0,20.0,9.53,47.17
242,Alpe Lusia-Moena-​Bellamonte,Italy,2340.0,1370.0,47.0,12.0,10.0,4.0,27.0,Yes,No,3.0,3.0,4.0,10.0,16280.0,0.0,9.53,47.17
243,Unternberg-Ruhpolding-,Germany,1417.0,710.0,20.0,1.0,1.0,0.0,2.0,No,Yes,3.0,1.0,0.0,4.0,3350.0,15.0,9.53,47.17
244,Diavolezza-​Lagalb,Switzerland,3006.0,2091.0,59.0,0.0,21.0,10.0,31.0,No,No,9.0,2.0,0.0,11.0,3970.0,20.0,9.53,47.17
245,Kubínska hoľa,Slovakia,1396.0,720.0,26.0,2.0,10.0,2.0,14.0,Yes,No,2.0,1.0,2.0,5.0,11480.0,60.0,9.53,47.17
246,Gålå,Norway,1148.0,800.0,43.0,13.0,5.0,1.0,19.0,Yes,Yes,7.0,1.0,0.0,8.0,7600.0,50.0,9.53,47.17
247,Kvitfjell,Norway,1039.0,185.0,45.0,19.0,10.0,5.0,34.0,Yes,Yes,14.0,2.0,0.0,16.0,17952.0,90.0,9.53,47.17
248,Molines-en-Queyras-​Saint-Véran,France,2800.0,1750.0,29.0,20.0,12.0,1.0,33.0,No,No,9.0,5.0,0.0,14.0,12290.0,0.0,9.53,47.17
249,Tatranská Lomnica,Slovakia,2190.0,888.0,35.0,5.0,5.0,1.0,11.0,No,No,3.0,1.0,0.0,4.0,12480.0,216.0,9.53,47.17
250,Kanin-Sella Nevea-​Bovec,Slovenia,1103.0,460.0,35.0,4.0,6.0,0.0,10.0,No,No,3.0,4.0,4.0,11.0,11670.0,0.0,9.53,47.17
251,Postwiesen Skidorf-Neuastenberg,Germany,730.0,605.0,26.0,3.0,3.0,1.0,8.0,Yes,Yes,8.0,1.0,0.0,9.0,6762.0,23.0,9.53,47.17
252,Oberjoch-Bad Hindelang-– Iseler,Germany,1559.0,1130.0,38.0,6.0,24.0,2.0,32.0,Yes,Yes,2.0,4.0,0.0,6.0,12388.0,70.0,9.53,47.17
253,Mönichkirchen-​Mariensee,Austria,1450.0,870.0,35.0,5.0,6.0,2.0,13.0,Yes,No,3.0,3.0,0.0,6.0,6741.0,80.0,9.53,47.17
254,Grächen,Switzerland,2864.0,1619.0,48.0,9.0,31.0,2.0,42.0,No,No,9.0,5.0,1.0,15.0,13860.0,0.0,9.53,47.17
255,Puigmal,France,2700.0,1830.0,0.0,9.0,15.0,7.0,32.0,No,No,11.0,2.0,0.0,13.0,11865.0,0.0,9.53,47.17
256,Kranzberg-Mittenwald,Germany,1350.0,980.0,29.0,6.0,7.0,2.0,15.0,Yes,Yes,9.0,1.0,0.0,10.0,5850.0,8.0,9.53,47.17
257,Wetterstein lifts-Wettersteinbahnen-– Ehrwald,Austria,1530.0,1000.0,43.0,15.0,5.0,3.0,23.0,Yes,No,6.0,4.0,0.0,10.0,5425.0,33.0,9.53,47.17
258,Stuhleck-Spital am Semmering,Austria,1774.0,777.0,42.0,18.0,6.0,0.0,24.0,Yes,Yes,7.0,2.0,0.0,9.0,14400.0,240.0,9.53,47.17
259,Glacier 3000 / Les Diablerets,Switzerland,3016.0,1343.0,54.0,9.0,3.0,12.0,25.0,Yes,No,4.0,3.0,3.0,10.0,10260.0,0.0,9.53,47.17
260,Rossfeld - Berchtesgaden - Oberau,Germany,1554.0,1300.0,20.0,7.0,1.0,0.0,8.0,Yes,Yes,4.0,0.0,0.0,4.0,3229.0,0.0,9.53,47.17
261,Les Arcs /​ Peisey-Vallandry (Paradiski),France,3226.0,1200.0,50.0,104.0,70.0,26.0,200.0,Yes,Yes,17.0,27.0,8.0,52.0,82641.0,793.0,9.53,47.17
262,Tignes - ​Val d'Isère,France,3456.0,1550.0,56.0,170.0,78.0,52.0,300.0,Yes,No,33.0,42.0,11.0,86.0,145461.0,848.0,9.53,47.17
263,Livigno – Carosello/​Mottolino,Italy,2798.0,1816.0,46.0,30.0,65.0,20.0,115.0,Yes,Yes,25.0,13.0,6.0,44.0,50850.0,0.0,9.53,47.17
264,Courchevel (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216.0,72.0,600.0,Yes,Yes,62.0,63.0,40.0,165.0,250860.0,2383.0,9.53,47.17
265,Les Gets (Les Portes du Soleil),France,2466.0,1000.0,51.0,310.0,210.0,60.0,580.0,Yes,Yes,89.0,74.0,11.0,174.0,252280.0,1074.0,9.53,47.17
266,Avoriaz (Les Portes du Soleil),France,2466.0,1000.0,51.0,310.0,210.0,60.0,580.0,Yes,Yes,89.0,74.0,11.0,174.0,252280.0,1074.0,9.53,47.17
267,Châtel (Les Portes du Soleil),France,2466.0,1000.0,51.0,310.0,210.0,60.0,580.0,Yes,Yes,89.0,74.0,11.0,174.0,252280.0,1074.0,9.53,47.17
268,Kitzbühel / Kirchberg (KitzSki),Austria,2000.0,800.0,55.0,101.0,61.0,17.0,179.0,Yes,Yes,15.0,28.0,11.0,54.0,92510.0,1102.0,9.53,47.17
269,Obergurgl-Hochgurgl,Austria,3082.0,1793.0,50.0,35.0,55.0,20.0,110.0,Yes,Yes,13.0,7.0,8.0,28.0,38861.0,320.0,9.53,47.17
270,Hafjell,Norway,1030.0,195.0,45.0,33.0,7.0,4.0,44.0,Yes,Yes,14.0,3.0,1.0,18.0,21060.0,150.0,9.53,47.17
271,Voss,Norway,960.0,284.0,43.0,25.0,4.0,11.0,40.0,Yes,No,7.0,4.0,0.0,11.0,11900.0,40.0,9.53,47.17
272,Kaunertal Glacier (Kaunertaler Gletscher),Austria,3108.0,2180.0,43.0,14.0,4.0,2.0,21.0,No,No,6.0,2.0,1.0,9.0,13200.0,0.0,9.53,47.17
273,Geilosiden Geilo,Norway,1178.0,800.0,44.0,18.0,12.0,4.0,34.0,Yes,Yes,18.0,6.0,0.0,24.0,14225.0,100.0,9.53,47.17
274,Ski Juwel Alpbachtal Wildschönau,Austria,2025.0,830.0,46.0,25.0,53.0,13.0,93.0,Yes,Yes,32.0,7.0,8.0,47.0,52789.0,294.0,9.53,47.17
275,Reither Kogel-Reith im Alpbachtal,Austria,1280.0,670.0,46.0,1.0,3.0,0.0,4.0,No,Yes,4.0,0.0,1.0,5.0,4070.0,0.0,9.53,47.17
276,Ellmau (SkiWelt Wilder Kaiser-Brixental),Austria,1957.0,620.0,49.0,122.0,129.0,33.0,284.0,Yes,Yes,54.0,35.0,16.0,105.0,147250.0,1700.0,9.53,47.17
277,Westendorf (SkiWelt Wilder Kaiser-Brixental),Austria,1957.0,620.0,49.0,122.0,129.0,33.0,284.0,Yes,Yes,54.0,35.0,16.0,105.0,147250.0,1700.0,9.53,47.17
278,Söll (SkiWelt Wilder Kaiser-Brixental),Austria,1957.0,620.0,49.0,122.0,129.0,33.0,284.0,Yes,Yes,54.0,35.0,16.0,105.0,147250.0,1700.0,9.53,47.17
279,Kitzsteinhorn - Kaprun,Austria,3029.0,1978.0,50.0,13.0,25.0,3.0,41.0,Yes,No,5.0,5.0,7.0,17.0,33598.0,105.0,9.53,47.17
280,Saint Martin de Belleville (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216.0,72.0,600.0,Yes,Yes,62.0,63.0,40.0,165.0,250860.0,2383.0,9.53,47.17
281,La Plagne (Paradiski),France,3167.0,1207.0,50.0,139.0,59.0,27.0,225.0,Yes,No,56.0,32.0,12.0,100.0,136733.0,417.0,9.53,47.17
282,Schladming (4-Berge-Skischauke),Austria,2015.0,745.0,52.0,46.0,68.0,8.0,123.0,Yes,Yes,16.0,20.0,10.0,46.0,71842.0,600.0,9.53,47.17
283,Alpe d'Huez,France,3330.0,1125.0,51.0,70.0,130.0,50.0,250.0,Yes,Yes,27.0,21.0,20.0,68.0,92097.0,963.0,9.53,47.17
284,Formigal,Spain,2251.0,1501.0,44.0,47.0,70.0,20.0,137.0,Yes,No,9.0,11.0,0.0,20.0,29450.0,440.0,9.53,47.17
285,Axamer Lizum,Austria,2340.0,1580.0,38.0,7.0,21.0,2.0,30.0,Yes,No,3.0,6.0,1.0,10.0,13322.0,0.0,9.53,47.17
286,Bansko,Bulgaria,2560.0,990.0,30.0,20.0,24.0,3.0,48.0,Yes,Yes,7.0,8.0,2.0,17.0,24233.0,380.0,9.53,47.17
287,Baqueira / ​Beret,Spain,2510.0,1471.0,50.0,79.0,52.0,19.0,150.0,Yes,No,14.0,19.0,2.0,35.0,53997.0,629.0,9.53,47.17
288,Hochkönig-Maria Alm/​Dienten/​Mühlbach,Austria,1900.0,800.0,52.0,52.0,41.0,19.0,112.0,Yes,Yes,21.0,9.0,5.0,35.0,49232.0,520.0,9.53,47.17
289,Bonneval sur Arc,France,3000.0,1850.0,28.0,13.0,11.0,1.0,25.0,No,No,8.0,3.0,0.0,11.0,8213.0,0.0,9.53,47.17
290,Brauneck Lenggries ​Wegscheid,Germany,1712.0,700.0,35.0,8.0,22.0,4.0,34.0,No,Yes,16.0,4.0,1.0,21.0,19100.0,0.0,9.53,47.17
291,Brunni - Engelberg,Switzerland,2040.0,1050.0,38.0,2.0,3.0,2.0,7.0,No,No,3.0,1.0,1.0,5.0,2577.0,0.0,9.53,47.17
292,Madonna di Campiglio-​Pinzolo-​Folgàrida-​Marilleva,Italy,2504.0,770.0,50.0,60.0,68.0,22.0,150.0,Yes,Yes,14.0,34.0,17.0,65.0,102340.0,0.0,9.53,47.17
293,Le Lys - Cauterets,France,1360.0,932.0,37.0,21.0,12.0,3.0,36.0,Yes,No,6.0,4.0,1.0,11.0,13038.0,0.0,9.53,47.17
294,Pont d'Espagne - Cauterets,France,1756.0,1516.0,35.0,3.0,1.0,0.0,4.0,No,No,2.0,1.0,1.0,4.0,4150.0,0.0,9.53,47.17
295,Cervinia,Switzerland,3899.0,1562.0,81.0,75.0,220.0,27.0,322.0,Yes,No,21.0,22.0,20.0,63.0,93464.0,1060.0,9.53,47.17
296,Grands Montets-Argentière (Chamonix),France,3275.0,1252.0,62.0,6.0,9.0,14.0,29.0,Yes,No,1.0,4.0,4.0,9.0,15756.0,0.0,9.53,47.17
297,Balme-​Les Autannes-Vallorcine-​Le Tour,France,2270.0,1453.0,51.0,13.0,16.0,0.0,29.0,Yes,No,8.0,2.0,2.0,12.0,14860.0,0.0,9.53,47.17
298,Crans-Montana,Switzerland,1510.0,540.0,60.0,55.0,70.0,15.0,140.0,Yes,No,12.0,6.0,5.0,23.0,29500.0,0.0,9.53,47.17
299,Rinerhorn (Davos Klosters),Switzerland,2490.0,1454.0,48.0,10.0,22.0,8.0,40.0,Yes,No,6.0,0.0,1.0,7.0,6900.0,14.0,9.53,47.17
300,Jakobshorn (Davos Klosters),Switzerland,2590.0,1540.0,58.0,25.0,13.0,2.0,41.0,Yes,No,5.0,5.0,3.0,13.0,15800.0,140.0,9.53,47.17
301,Pischa (Davos Klosters),Switzerland,2483.0,1800.0,40.0,0.0,0.0,0.0,0.0,No,No,0.0,0.0,1.0,1.0,800.0,0.0,9.53,47.17
302,Madrisa (Davos Klosters),Switzerland,2611.0,1142.0,52.0,6.0,9.0,9.0,26.0,Yes,No,7.0,2.0,1.0,10.0,6640.0,9.0,9.53,47.17
303,Cortina d'Ampezzo,Italy,2924.0,1224.0,52.0,45.0,55.0,20.0,120.0,Yes,No,8.0,26.0,6.0,40.0,48089.0,130.0,9.53,47.17
304,St. Moritz - Corviglia,Switzerland,3057.0,1720.0,69.0,42.0,79.0,34.0,155.0,Yes,No,11.0,12.0,5.0,28.0,31220.0,170.0,9.53,47.17
305,Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2069.0,1000.0,40.0,132.0,49.0,11.0,192.0,Yes,Yes,53.0,30.0,0.0,83.0,90852.0,472.0,9.53,47.17
306,Fonna Glacier,Norway,1460.0,1200.0,42.0,2.0,2.0,0.0,5.0,Yes,No,1.0,0.0,0.0,1.0,1200.0,0.0,9.53,47.17
307,Galtür,Austria,2300.0,1600.0,40.0,6.0,25.0,12.0,43.0,Yes,Yes,9.0,2.0,2.0,13.0,15442.0,133.0,9.53,47.17
308,Glencoe Mountain,United Kingdom,1070.0,360.0,35.0,7.0,10.0,7.0,24.0,No,No,6.0,2.0,0.0,8.0,5800.0,0.0,9.53,47.17
309,Golm,Austria,2110.0,650.0,48.0,13.0,12.0,1.0,26.0,No,No,4.0,4.0,3.0,11.0,16240.0,123.0,9.53,47.17
310,Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra,2640.0,1710.0,47.0,100.0,77.0,33.0,210.0,Yes,Yes,37.0,28.0,7.0,72.0,99017.0,1032.0,9.53,47.17
311,El Tarter – Pas de la Casa/​Grau Roig/​Soldeu/​Canillo/​Encamp (Grandvalira),Andorra,2640.0,1710.0,47.0,100.0,77.0,33.0,210.0,Yes,Yes,37.0,28.0,7.0,72.0,99017.0,1032.0,9.53,47.17
312,Gresse en Vercors,France,1751.0,1245.0,19.0,8.0,7.0,5.0,20.0,Yes,No,10.0,1.0,0.0,11.0,6808.0,51.0,9.53,47.17
313,Wasserngrat (Gstaad),Switzerland,1900.0,1275.0,54.0,3.0,3.0,2.0,9.0,No,No,0.0,1.0,0.0,1.0,900.0,0.0,9.53,47.17
314,Wispile (Gstaad),Switzerland,1941.0,1046.0,54.0,3.0,3.0,1.0,8.0,No,Yes,3.0,0.0,2.0,5.0,3601.0,0.0,9.53,47.17
